County_Name,FIPS,Incidence,Mortality,Population_2010,UIC_2013,Description,State,Counts_Incidence,Counts_Mortality,state_c,RUCC_2013,descriptionRUCC
Douglas County,29067,288.80000000000000,162.00000000000000,13684,6,"Noncore adjacent to a small metro with town of at least 2,500 residents",MO,60,34,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Dunklin County,29069,415.10000000000000,235.60000000000000,31953,8,Micropolitan not adjacent to a metro area,MO,165,97,0,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Franklin County,29071,480.40000000000000,181.90000000000000,101492,1,Large-in a metro area with at least 1 million residents or more,MO,580,216,0,1,Metro - Counties in metro areas of 1 million population or more
Gasconade County,29073,456.30000000000000,167.60000000000000,15222,4,Noncore adjacent to a large metro area,MO,103,41,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Gentry County,29075,410.60000000000000,162.90000000000000,6738,7,"Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",MO,39,18,0,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Greene County,29077,419.30000000000000,167.20000000000000,275174,2,Small-in a metro area with fewer than 1 million residents,MO,1330,545,0,2,"Metro - Counties in metro areas of 250,000 to 1 million population"
Grundy County,29079,427.90000000000000,201.60000000000000,10261,11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",MO,63,32,0,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Harrison County,29081,423.30000000000000,183.10000000000000,8957,11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",MO,54,25,0,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Henry County,29083,505.30000000000000,226.40000000000000,22272,4,Noncore adjacent to a large metro area,MO,159,75,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Hickory County,29085,320.60000000000000,182.20000000000000,9627,7,"Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",MO,60,35,0,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Holt County,29087,351.30000000000000,158.50000000000000,4912,7,"Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",MO,25,13,0,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area"
Howard County,29089,392.80000000000000,155.70000000000000,10144,6,"Noncore adjacent to a small metro with town of at least 2,500 residents",MO,50,21,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Howell County,29091,403.10000000000000,207.20000000000000,40400,8,Micropolitan not adjacent to a metro area,MO,210,112,0,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Iron County,29093,529.20000000000000,213.50000000000000,10630,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",MO,75,30,0,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Jackson County,29095,450.30000000000000,186.10000000000000,674158,1,Large-in a metro area with at least 1 million residents or more,MO,3322,1368,0,1,Metro - Counties in metro areas of 1 million population or more
Jasper County,29097,429.70000000000000,191.40000000000000,117404,2,Small-in a metro area with fewer than 1 million residents,MO,549,246,0,3,"Metro - Counties in metro areas of fewer than 250,000 population"
Jefferson County,29099,487.20000000000000,198.20000000000000,218733,1,Large-in a metro area with at least 1 million residents or more,MO,1157,442,0,1,Metro - Counties in metro areas of 1 million population or more
Johnson County,29101,459.20000000000000,181.40000000000000,52595,3,Micropolitan adjacent to a large metro area,MO,228,88,0,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area"
Knox County,29103,415.50000000000000,221.80000000000000,4131,10,"Noncore adjacent to micro area and does not contain a town of at least 2,500 residents",MO,25,14,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Laclede County,29105,425.00000000000000,187.00000000000000,35571,5,Micropolitan adjacent to a small metro area,MO,187,83,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Lafayette County,29107,448.30000000000000,176.00000000000000,33381,1,Large-in a metro area with at least 1 million residents or more,MO,192,78,0,1,Metro - Counties in metro areas of 1 million population or more
Lawrence County,29109,415.80000000000000,172.60000000000000,38634,6,"Noncore adjacent to a small metro with town of at least 2,500 residents",MO,197,86,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
Lewis County,29111,466.40000000000000,211.50000000000000,10211,8,Micropolitan not adjacent to a metro area,MO,59,28,0,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area"
Lincoln County,29113,479.50000000000000,191.20000000000000,52566,1,Large-in a metro area with at least 1 million residents or more,MO,259,100,0,1,Metro - Counties in metro areas of 1 million population or more
Linn County,29115,469.90000000000000,202.70000000000000,12761,11,"Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",MO,82,37,0,7,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area"
Livingston County,29117,415.50000000000000,189.40000000000000,15195,4,Noncore adjacent to a large metro area,MO,83,41,0,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area"
